tiempoKey,fecha,anio,mes,nombreMes,dia,nombreDia
20240104,"2024-01-04 00:00:00",2024,1,Enero,4,Jueves
20240114,"2024-01-14 00:00:00",2024,1,Enero,14,Domingo
20240122,"2024-01-22 00:00:00",2024,1,Enero,22,Lunes
20240126,"2024-01-26 00:00:00",2024,1,Enero,26,Viernes
20240129,"2024-01-29 00:00:00",2024,1,Enero,29,Lunes
20240221,"2024-02-21 00:00:00",2024,2,Febrero,21,Miércoles
20240224,"2024-02-24 00:00:00",2024,2,Febrero,24,Sábado
20240306,"2024-03-06 00:00:00",2024,3,Marzo,6,Miércoles
20240318,"2024-03-18 00:00:00",2024,3,Marzo,18,Lunes
20240324,"2024-03-24 00:00:00",2024,3,Marzo,24,Domingo
20240331,"2024-03-31 00:00:00",2024,3,Marzo,31,Domingo
20240401,"2024-04-01 00:00:00",2024,4,Abril,1,Lunes
20240405,"2024-04-05 00:00:00",2024,4,Abril,5,Viernes
20240421,"2024-04-21 00:00:00",2024,4,Abril,21,Domingo
20240423,"2024-04-23 00:00:00",2024,4,Abril,23,Martes
20240504,"2024-05-04 00:00:00",2024,5,Mayo,4,Sábado
20240510,"2024-05-10 00:00:00",2024,5,Mayo,10,Viernes
20240515,"2024-05-15 00:00:00",2024,5,Mayo,15,Miércoles
20240516,"2024-05-16 00:00:00",2024,5,Mayo,16,Jueves
20240524,"2024-05-24 00:00:00",2024,5,Mayo,24,Viernes
20240604,"2024-06-04 00:00:00",2024,6,Junio,4,Martes
20240608,"2024-06-08 00:00:00",2024,6,Junio,8,Sábado
20240610,"2024-06-10 00:00:00",2024,6,Junio,10,Lunes
20240611,"2024-06-11 00:00:00",2024,6,Junio,11,Martes
20240619,"2024-06-19 00:00:00",2024,6,Junio,19,Miércoles
20240620,"2024-06-20 00:00:00",2024,6,Junio,20,Jueves
20240703,"2024-07-03 00:00:00",2024,7,Julio,3,Miércoles
20240802,"2024-08-02 00:00:00",2024,8,Agosto,2,Viernes
20240809,"2024-08-09 00:00:00",2024,8,Agosto,9,Viernes
20240811,"2024-08-11 00:00:00",2024,8,Agosto,11,Domingo
20240816,"2024-08-16 00:00:00",2024,8,Agosto,16,Viernes
20240822,"2024-08-22 00:00:00",2024,8,Agosto,22,Jueves
20240927,"2024-09-27 00:00:00",2024,9,Septiembre,27,Viernes
20241003,"2024-10-03 00:00:00",2024,10,Octubre,3,Jueves
20241005,"2024-10-05 00:00:00",2024,10,Octubre,5,Sábado
20241008,"2024-10-08 00:00:00",2024,10,Octubre,8,Martes
20241010,"2024-10-10 00:00:00",2024,10,Octubre,10,Jueves
20241013,"2024-10-13 00:00:00",2024,10,Octubre,13,Domingo
20241021,"2024-10-21 00:00:00",2024,10,Octubre,21,Lunes
20241029,"2024-10-29 00:00:00",2024,10,Octubre,29,Martes
20241117,"2024-11-17 00:00:00",2024,11,Noviembre,17,Domingo
20241120,"2024-11-20 00:00:00",2024,11,Noviembre,20,Miércoles
20241121,"2024-11-21 00:00:00",2024,11,Noviembre,21,Jueves
20241209,"2024-12-09 00:00:00",2024,12,Diciembre,9,Lunes
20241216,"2024-12-16 00:00:00",2024,12,Diciembre,16,Lunes
20241218,"2024-12-18 00:00:00",2024,12,Diciembre,18,Miércoles
